% Model:              Final Design Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Aug 11 2025, 15:18
% Dimension:          1
% Nodes:              975
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         5.147584082242413E-5
0.001790467625154335      5.118101985505932E-5
0.012232893223702135      4.94278733641699E-5
0.012233740405743099      4.942774105396343E-5
0.012236891074141276      4.9427272903894964E-5
0.012273870430007605      4.942167070310178E-5
0.04530176582656509       4.4418097832442946E-5
0.046402051538340316      4.423823320675929E-5
0.04643033396322682       4.423431300733283E-5
0.05012720372832824       4.372189348209824E-5
0.05790902974759771       4.262379617180388E-5
0.06432071440880538       4.17587126138462E-5
0.08784332599674638       3.858497192006737E-5
0.09683697629948984       3.759006876030053E-5
0.10595561670062725       3.6457982295904834E-5
0.13017453977759352       3.360103879566646E-5
0.1474679175669218        3.1784416323962933E-5
0.15861293846628932       3.062154533445439E-5
0.15908652946772062       3.057265613593011E-5
0.1625644275498157        3.021362978351045E-5
0.16383636658930723       3.009309484895602E-5
0.1655402936066528        2.993162269884141E-5
0.17110984842023136       2.939724003167473E-5
0.19025522029515596       2.752772158355206E-5
0.19080716672412645       2.747276957192829E-5
0.1909795869992319        2.7456168671733467E-5
0.20192135149000467       2.6447283704267594E-5
0.20633855212871488       2.606713151675222E-5
0.21237303223613235       2.5520536271215144E-5
0.2201123693289171        2.4819517329529452E-5
0.22943932133012712       2.400527559577765E-5
0.232488510196176         2.375151223881604E-5
0.23573452849225607       2.3481368100240882E-5
0.24941757193370684       2.2426678275174557E-5
0.2529545670689721        2.2165643596762668E-5
0.26789905566102057       2.0995218950246647E-5
0.2695477054945066        2.0872820703665102E-5
0.2787227745384948        2.0248013790227715E-5
0.2899953363676584        1.95173316629147E-5
0.2995705820092285        1.889666876827206E-5
0.30336088249675797       1.8633862905429554E-5
0.3063587899919149        1.844441539757573E-5
0.30802797714328456       1.8345738717990944E-5
0.3133713272041856        1.804737780764613E-5
0.320608531855628         1.7628893812959435E-5
0.33717405949900936       1.667100903338319E-5
0.3373331797480743        1.666278557000981E-5
0.3454096147956891        1.621558348270664E-5
0.3481177900756487        1.606919070983791E-5
0.3786678246018589        1.4372195173065125E-5
0.3821800183426287        1.4177099580055088E-5
0.38793457530287867       1.3889494955804886E-5
0.40352916678911743       1.3130611695944366E-5
0.4225430917336066        1.219154482735833E-5
0.4278183013518859        1.1931010792863353E-5
0.4369847295124796        1.1538193589646257E-5
0.47103813724096444       1.0260931855894653E-5
0.47190022679329147       1.0228400208924939E-5
0.47354468636941416       1.0166345195913855E-5
0.475890609475373         1.007634851170641E-5
0.4765157961345121        1.0053420504536502E-5
0.48092411296956783       9.905384358308333E-6
0.48152756048482637       9.885119924522725E-6
0.4897496436304296        9.605615493592503E-6
0.4917279608370544        9.538363871923766E-6
0.5186667309454442        8.610024518027022E-6
0.5243809546513196        8.436833032186085E-6
0.526715273310228         8.368374119858369E-6
0.5376113675310901        8.04882273550314E-6
0.5600111036032471        7.384985533415299E-6
0.5744952523426416        7.015875998823018E-6
0.5751023838533653        7.001000063097684E-6
0.6000454442708456        6.3898452193607395E-6
0.6013554762610509        6.3573422931929805E-6
0.6039236702284114        6.304287160340329E-6
0.6246095500339655        5.870903795770812E-6
0.641967042018571         5.524292103979384E-6
0.6426998489188547        5.5096586857592396E-6
0.6578002627846846        5.219884013973337E-6
0.6595426557936435        5.1857701365912625E-6
0.6606806998463304        5.163488656426261E-6
0.6674026734514493        5.028136720860634E-6
0.6727416343897294        4.934602454918027E-6
0.6777333973898223        4.843454230732622E-6
0.6921054979840449        4.57079369357858E-6
0.6950306182739459        4.522953463254873E-6
0.7054643693344973        4.352309864220587E-6
0.7126205443376676        4.234917053714503E-6
0.7213857505547683        4.115664549707948E-6
0.7268366045053192        4.041504516677677E-6
0.7357743849735892        3.914286874902366E-6
0.7455056229989303        3.780626906416861E-6
0.7506849839832732        3.7181774557691088E-6
0.7740978183745684        3.4411147272603806E-6
0.7756220159907796        3.423077682139049E-6
0.7844332894752615        3.3139171649570335E-6
0.786079213183851         3.2962877520028513E-6
0.7887494236288815        3.267687251041395E-6
0.789895358843216         3.2556693873433364E-6
0.7904871910391087        3.2490906598024896E-6
0.7965986941944205        3.1811560080500696E-6
0.7980441312265869        3.16580934556555E-6
0.8233609559515909        2.897012604103912E-6
0.826813863274487         2.8661452109129176E-6
0.8475762545305976        2.685180869817352E-6
0.8529541131811111        2.638307625055202E-6
0.8574230034152492        2.596548305969517E-6
0.8622886224279211        2.553507527953665E-6
0.8648783029200944        2.534944386516555E-6
0.8773468189238507        2.448356136398546E-6
0.8848552639868457        2.3920466448572163E-6
0.9012162889042514        2.2693473394131855E-6
0.9029427425657017        2.259296429771438E-6
0.9145829305592832        2.1941330352589727E-6
0.916012867519008         2.1861280488888326E-6
0.9182473126360806        2.1722150066920528E-6
0.9401439553805799        2.046789483527492E-6
0.9410071822113073        2.043293163191992E-6
0.979071621856912         1.8976311123446713E-6
1.0102126915016072        1.8061102743570157E-6
1.0102494175220578        1.8059863725742588E-6
1.015750872650151         1.7950733482885205E-6
1.0158018337543542        1.79499686809175E-6
1.0159130317482017        1.7948034619802464E-6
1.0413537611463068        1.7505545292752621E-6
1.0414272131872035        1.7503948399691895E-6
1.0524301234433917        1.7417680609742806E-6
1.0525320456517933        1.74173736811481E-6
1.0526460174181054        1.7416758599739464E-6
1.0724948307910083        1.730963877099428E-6
1.0726050088523502        1.730856514529458E-6
1.0891093742366333        1.7377152504019543E-6
1.0892622575492332        1.7378526124138389E-6
1.089352076390151         1.7379118872318138E-6
1.1036359004357084        1.7473383178295135E-6
1.103782804517496         1.747371396255065E-6
1.125788625029874         1.7829149165715416E-6
1.125992469446671         1.7833426009888365E-6
1.1260473931777941        1.783444734615142E-6
1.1347769700804085        1.799677851465518E-6
1.1349606001826418        1.7999394851460095E-6
1.1624678758231162        1.8773670594830424E-6
1.1627226813441114        1.878207333839803E-6
1.1627373467651836        1.878252197854466E-6
1.165918039725109         1.8879824780074424E-6
1.1661383958477884        1.8885607812022932E-6
1.1837432174279199        1.9592339231631243E-6
1.1853182347486886        1.9655567036692967E-6
1.1970591093698104        2.010856127703901E-6
1.1973598859228312        2.0122516358375544E-6
1.2006867032621802        2.029995147095857E-6
1.2094230576067861        2.0764241794688864E-6
1.2208391243711825        2.137679927581939E-6
1.2313310355634206        2.2156271912933657E-6
1.2365647735081478        2.2528701762005993E-6
1.2418445636938875        2.286518726429557E-6
1.2444789028867485        2.3033075933225065E-6
1.2490210813907772        2.3416281726204896E-6
1.2546208605610927        2.388871314112386E-6
1.2657143550572814        2.4560102277296005E-6
1.2706267810811989        2.489069896439556E-6
1.288414343337573         2.627143191113829E-6
1.2897686022276589        2.6380562364104487E-6
1.2932685823091852        2.6662601798710195E-6
1.3089544480140258        2.8346770289887837E-6
1.3102001434313841        2.8488960953749263E-6
1.3215324074245078        2.978248914513637E-6
1.3319163040572768        3.1074983844468717E-6
1.3458056047392573        3.3175830198054747E-6
1.3475994857026183        3.3447166269390198E-6
1.3521945409707694        3.415579777659461E-6
1.3646555005983236        3.616192719262091E-6
1.3705640258053693        3.7089890956442553E-6
1.3724380337678168        3.7434409409296007E-6
1.3954346339275134        4.189956496449548E-6
1.406290835892849         4.408104243544222E-6
1.4067846280676646        4.418026650184494E-6
1.409211747553461         4.467516252066038E-6
1.4233436601111258        4.7935225219608375E-6
1.4386747268842575        5.163021868316148E-6
1.4478594693015534        5.390611089270216E-6
1.4559430216192615        5.612565968491872E-6
1.4659697704327104        5.8878763437336875E-6
1.4742492864544348        6.117662359745564E-6
1.4819148198410015        6.338323187594246E-6
1.486507191049645         6.47363193733111E-6
1.5251549127977424        7.715860454283716E-6
1.5487726726165123        8.593063256958852E-6
1.5492402668113145        8.614162940966281E-6
1.550548882052352         8.66511362641713E-6
1.5538565453077045        8.793896865994313E-6
1.5723904324352818        9.585395024372015E-6
1.5733256208248818        9.632797592789244E-6
1.5754830830367759        9.728801660063121E-6
1.5825581778176598        1.0043633535944126E-5
1.5960081922540494        1.069285575652326E-5
1.5974109748384464        1.0771764409752865E-5
1.5998734385704858        1.0895041274110921E-5
1.6112598103276152        1.146507046413341E-5
1.619625952072818         1.191544545341258E-5
1.6214963288520128        1.2031063391857141E-5
1.623614040646899         1.214886366719859E-5
1.6399614428375706        1.305820765056216E-5
1.643243711891587         1.3253164115039978E-5
1.6455816828655792        1.3410694539102067E-5
1.646569573033264         1.3471143544889512E-5
1.6584918990290642        1.4200670750134247E-5
1.6624499016931082        1.4437408555857535E-5
1.6668614717103551        1.4701275332695625E-5
1.6686630753475256        1.4823414518750698E-5
1.6696670368791442        1.4895263380906596E-5
1.6728160675334536        1.5101135169222193E-5
1.6749051889802247        1.5237714077295578E-5
1.6904792315291237        1.6259268352704822E-5
1.6945929542824043        1.6543217244097224E-5
1.6994902749714562        1.690561464483469E-5
1.703724094771546         1.7218913566462046E-5
1.7173350027994863        1.82089536438877E-5
1.73022646951329          1.9179018742274125E-5
1.732486999981254         1.9348866796018146E-5
1.7341479456411175        1.9473664223746048E-5
1.7420515722364707        2.0087358858797698E-5
1.7516992684102939        2.088544322321311E-5
1.7571320099880854        2.1311228791588607E-5
1.7606540332538283        2.1587263765194983E-5
1.7631868519594551        2.1785252005358078E-5
1.7642562745731212        2.1874275774255256E-5
1.7703057318862712        2.237786105748849E-5
1.7733285106730001        2.262891797567841E-5
1.7777304084794103        2.300351475018565E-5
1.7826425974822158        2.3421536757316628E-5
1.787797742586628         2.388323484074139E-5
1.7880393585738767        2.3904874122658405E-5
1.788364669964122         2.3933535888038327E-5
1.8012453135196438        2.5077098378958413E-5
1.8058047606333139        2.5502235743854848E-5
1.8084529026261427        2.5741891840064218E-5
1.8155956788769672        2.6388311056633815E-5
1.8174208461824124        2.6554721699900267E-5
1.8181396206974032        2.6619210544067238E-5
1.8198480295570718        2.6772489925050826E-5
1.8225817281659449        2.7029955841356194E-5
1.8240370229680254        2.716701879646612E-5
1.829016155087317         2.7646141651398476E-5
1.8315398944222383        2.7887597673370294E-5
1.8384507455944998        2.8548785859251556E-5
1.8412932747944328        2.8818987784072623E-5
1.8469829661849388        2.938054486890274E-5
1.8476533611647517        2.944671103235696E-5
1.8492604130140524        2.9598379945297192E-5
1.8589820226168539        3.050454481867081E-5
1.871894070507918         3.180773420389938E-5
1.8847006878770065        3.310028267931441E-5
1.8903857701513633        3.3658848425465485E-5
1.8922764675005865        3.3844611572707485E-5
1.8984729007055359        3.445648391319818E-5
1.90996422683284          3.563421669202156E-5
1.9101989715171133        3.565815351316312E-5
1.910810850873843         3.5720546605333136E-5
1.9379637787942183        3.854434471930307E-5
1.9394256694879912        3.870184741244402E-5
1.9530618929348433        4.017100097248764E-5
1.9682731816638857        4.181737658529947E-5
1.9774546568829           4.2786543346853573E-5
1.981054076293351         4.317995885154778E-5
1.9856799569950994        4.368556627969276E-5
2.00841446462864          4.6216512521956745E-5
2.013847318369101         4.6821331459794695E-5
2.0169455349715815        4.7167777021406416E-5
2.0226911980352433        4.783176834350327E-5
2.0281959462663184        4.846506026394832E-5
