% Model:              Final Design Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Sep 1 2025, 16:46
% Dimension:          3
% Nodes:              24352
% Expressions:        1
% Description:        Slice
% x                       y                        z                        Electric potential
2.7                       -0.05761217977754043     -0.08172989422258392     0.17908807319027983
2.7                       -0.05795843478113813     -0.08149122552594545     0.17909854064515693
2.7                       -0.057884350610985576    -0.08135646359802799     0.17909290333524225
2.7                       -0.057499631408479704    -0.08145704042115332     0.1790782679405281
2.7                       -0.055534649756101485    -0.08316190640231307     0.1790262125438663
2.7                       -0.05495575321104745     -0.08210318157858057     0.17898212748672543
2.7                       -0.058297514606320745    -0.0812424683221787      0.17910705194641288
2.7                       -0.05855466468340189     -0.07760359215752718     0.17903950048967252
2.7                       -0.056823651524621835    -0.07671965138666187     0.1789510201405479
2.7                       -0.05791831943875554     -0.08102620022338773     0.1790871848847276
2.6999999999999997        -0.05571477667072624     -0.07975218454509794     0.17896731548729478
2.7                       -0.05587339730361758     -0.0762344046718277      0.17890308492233783
2.7                       -0.05524346146747011     -0.07948351147415401     0.17894297824750657
2.7                       -0.059431741107165655    -0.07805147067664597     0.1790843324517463
2.7                       -0.05542200539308247     -0.08001082800730701     0.17896064238806234
2.7                       -0.05519874587273221     -0.0798906603971393      0.17894937006483166
2.7                       -0.05516014124523287     -0.08024216712763785     0.1789538401094647
2.7                       -0.05279009795399826     -0.08471028904961668     0.17892758293025562
2.7                       -0.053062738912070515    -0.0847605199320378      0.17894083311283956
2.7                       -0.053415869032667825    -0.08453214657063468     0.1789526913897936
2.7                       -0.052908378681507086    -0.08432433338402298     0.17892657290311878
2.7                       -0.052703039693802696    -0.08497840005194168     0.17892708564925675
2.7                       -0.05336890403832424     -0.08278462991405232     0.17892283940594014
2.7                       -0.04941689652261642     -0.08361029453589752     0.17875233005360527
2.7                       -0.0495650789206927      -0.08354484242814397     0.17875811117118975
2.7                       -0.04937507360232219     -0.08350197353262404     0.17874886940423979
2.7                       -0.05215815571857771     -0.08239948141231626     0.17886048523475157
2.7                       -0.04994758301438264     -0.08169628096089823     0.17875015769413427
2.7                       -0.04945019965302108     -0.08369654935675182     0.17875508398423437
2.7                       -0.04850011138381116     -0.08123582892414732     0.17867606690920115
2.7                       -0.0505448443843505      -0.08628568077127124     0.1788453425446923
2.7                       -0.031941329195060854    -0.08945559686028047     0.17788653314513497
2.7                       -0.03254087441019783     -0.09193816192549112     0.17792059243357447
2.6999999999999997        -0.03395078853463457     -0.09156421489480789     0.1780042158281352
2.7                       -0.03188324744358324     -0.08951930889042474     0.1778830608224305
2.7                       -0.03290709408150458     -0.0932800412185806      0.17794272897531438
2.7                       -0.029957247472141568    -0.09262340906581987     0.17776880298041547
2.7                       -0.031769143187278207    -0.0945484129215191      0.17787629083166
2.7                       -0.034202860444912955    -0.09182872553483086     0.1780196477427918
2.7                       -0.03193009395045301     -0.08944380720177089     0.17788586318146749
2.7                       -0.02944768819089174     -0.09344465676974255     0.1777361955827649
2.7                       -0.031419253962838324    -0.09493033945358584     0.1778542186129087
2.7                       -0.029015593736547572    -0.0956979379094218      0.1777050494375564
2.7                       -0.03181986400058663     -0.09480240637760258     0.17787908135063776
2.7                       -0.03221653478079256     -0.09466273688771285     0.17790252310655866
2.7                       -0.03459655946183115     -0.09382471994844382     0.17804616569838233
2.7                       0.00231227763981555      -0.09929905222298233     0.1754819171433809
2.7                       0.0030625389818216336    -0.09975943770811485     0.1754136099223214
2.7                       0.0029434726071481576    -0.09995667045780834     0.1754172005367534
2.6999999999999997        0.0025229765203800773    -0.09996286039240758     0.17544867550494747
2.7                       9.535710029306904E-4     -0.09845745530008246     0.1756075786838957
2.7                       0                        -0.09999999999999966     0.17564075114704888
2.6999999999999997        0.00336360429585758      -0.09993810601815127     0.17538548902716247
2.7                       0.0018062986406892536    -0.09663809414942219     0.17559078368317532
2.7                       0.002315722156938419     -0.09788921162222469     0.1755210641360157
2.7                       0.0011507646679825242    -0.09803672718307824     0.1756030260310073
2.7                       0.0036187908169476204    -0.09772420740015289     0.1754264480785317
2.7                       0.003492525759800853     -0.0988234800205062      0.1754062692461575
2.7                       0.002219212892712946     -0.09575710927755801     0.17558218109741588
2.7                       0.0036688691960719503    -0.09729885430986174     0.175433543893047
2.7                       -0.020220483399014166    -0.09763411204934239     0.1771231560357197
2.7                       -0.02046174250278093     -0.09788420247287004     0.17713670585253852
2.7                       -0.020564772572239178    -0.09772062469114548     0.17714490841843433
2.7                       -0.021118814697464464    -0.09586143986962072     0.17719842682735265
2.6999999999999997        -0.021829337887150677    -0.0957129118928653      0.17724634811623713
2.7                       -0.020872075175263422    -0.09779210267824552     0.17716433101769063
2.7                       -0.022165535382518038    -0.09605399320276767     0.1772651398834331
2.7                       -0.021415303872633098    -0.09529286336198171     0.17722314292263516
2.7                       -0.020048876693340868    -0.0979641843312625      0.17710800146115097
2.7                       -0.02333407120994431     -0.09723950391054645     0.1773332523147891
2.7                       -0.02616101103546631     -0.09584406035998193     0.17752369230486434
2.7                       -0.02527522751127779     -0.09236805047727636     0.1774854077804887
2.7                       -0.024201080250650278    -0.09331398475982328     0.17741292464606223
2.7                       -0.026349644900741473    -0.09345029014982015     0.17754783577794278
2.7                       -0.026590380954948103    -0.09639445268803128     0.1775477550098825
2.7                       -0.02799789213844203     -0.09511053743201522     0.17764253725236384
2.7                       -0.023283804625809958    -0.09036212906107449     0.17737518198861232
2.7                       -0.02314909136810573     -0.09196798366407997     0.1773565365311384
2.7                       -0.026186178824648063    -0.0965105384844758      0.17752205306219865
