% Model:              Final Design Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Aug 11 2025, 15:19
% Dimension:          1
% Nodes:              975
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         3.5978159019415515E-5
0.001790467625154335      3.577219487454591E-5
0.012232893223702135      3.454572487568313E-5
0.012233740405743099      3.454563229067394E-5
0.012236891074141276      3.454530514929581E-5
0.012273870430007605      3.454138955345018E-5
0.04530176582656509       3.104419802659238E-5
0.046402051538340316      3.091834760156066E-5
0.04643033396322682       3.091560744066176E-5
0.05012720372832824       3.0557433839236765E-5
0.05790902974759771       2.979015872036505E-5
0.06432071440880538       2.9185558128807066E-5
0.08784332599674638       2.6967453896840823E-5
0.09683697629948984       2.6272142309253644E-5
0.10595561670062725       2.548068648012628E-5
0.13017453977759352       2.348277741637803E-5
0.1474679175669218        2.2212612035664093E-5
0.15861293846628932       2.1399714292519697E-5
0.15908652946772062       2.1365569698785427E-5
0.1625644275498157        2.1114822922129245E-5
0.16383636658930723       2.1030587668628695E-5
0.1655402936066528        2.091774364089132E-5
0.17110984842023136       2.054419223586486E-5
0.19025522029515596       1.9236572674026242E-5
0.19080716672412645       1.9198136431651446E-5
0.1909795869992319        1.9186520277837745E-5
0.20192135149000467       1.8480802432689813E-5
0.20633855212871488       1.8214903837788483E-5
0.21237303223613235       1.7832648619243952E-5
0.2201123693289171        1.7342398930930944E-5
0.22943932133012712       1.677272077677162E-5
0.232488510196176         1.6595242210606697E-5
0.23573452849225607       1.6406307153369764E-5
0.24941757193370684       1.56687401565485E-5
0.2529545670689721        1.5486099450579933E-5
0.26789905566102057       1.4667346937520013E-5
0.2695477054945066        1.4581761041265737E-5
0.2787227745384948        1.414492435008773E-5
0.2899953363676584        1.3633772318749787E-5
0.2995705820092285        1.3199584745913803E-5
0.30336088249675797       1.301577868019438E-5
0.3063587899919149        1.2883294107046556E-5
0.30802797714328456       1.2814325269627133E-5
0.3133713272041856        1.260565492751704E-5
0.320608531855628         1.2312905089163725E-5
0.33717405949900936       1.1642818256829821E-5
0.3373331797480743        1.163706618247426E-5
0.3454096147956891        1.132380512365844E-5
0.3481177900756487        1.1221263412913955E-5
0.3786678246018589        1.003284683846308E-5
0.3821800183426287        9.896220176040399E-6
0.38793457530287867       9.694757053684924E-6
0.40352916678911743       9.163199221740596E-6
0.4225430917336066        8.505933206109499E-6
0.4278183013518859        8.323581796942391E-6
0.4369847295124796        8.048468978555919E-6
0.47103813724096444       7.154012874076229E-6
0.47190022679329147       7.131237381456308E-6
0.47354468636941416       7.087792501700333E-6
0.475890609475373         7.024794477135334E-6
0.4765157961345121        7.008738443490559E-6
0.48092411296956783       6.9049686865058355E-6
0.48152756048482637       6.890763808690897E-6
0.4897496436304296        6.694817159360935E-6
0.4917279608370544        6.647670393622238E-6
0.5186667309454442        5.9969202690484595E-6
0.5243809546513196        5.875334428818294E-6
0.526715273310228         5.82727497123246E-6
0.5376113675310901        5.6029438260135954E-6
0.5600111036032471        5.136944674396434E-6
0.5744952523426416        4.877317852922447E-6
0.5751023838533653        4.8668537247280394E-6
0.6000454442708456        4.436951179464598E-6
0.6013554762610509        4.414089917193913E-6
0.6039236702284114        4.376666107967584E-6
0.6246095500339655        4.07104002023393E-6
0.641967042018571         3.826558235416372E-6
0.6426998489188547        3.8162365864669315E-6
0.6578002627846846        3.6111632108314336E-6
0.6595426557936435        3.587015276448479E-6
0.6606806998463304        3.5712430522901576E-6
0.6674026734514493        3.47543125236412E-6
0.6727416343897294        3.408988597540627E-6
0.6777333973898223        3.344329767571697E-6
0.6921054979840449        3.151164106247893E-6
0.6950306182739459        3.117140083516407E-6
0.7054643693344973        2.995778174235461E-6
0.7126205443376676        2.912246942916988E-6
0.7213857505547683        2.8272499793805905E-6
0.7268366045053192        2.7743925767135116E-6
0.7357743849735892        2.683892689134298E-6
0.7455056229989303        2.5886224850512224E-6
0.7506849839832732        2.5438231691870738E-6
0.7740978183745684        2.3440156099084976E-6
0.7756220159907796        2.3310079492184842E-6
0.7844332894752615        2.2524841628103687E-6
0.786079213183851         2.2396933895917626E-6
0.7887494236288815        2.2189426973998417E-6
0.789895358843216         2.21016975828729E-6
0.7904871910391087        2.20538529227307E-6
0.7965986941944205        2.1559789244794194E-6
