% Model:              Final Design Simulation.mph
% Version:            COMSOL 6.2.0.339
% Date:               Aug 11 2025, 15:06
% Dimension:          1
% Nodes:              975
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Electric potential
0                         0.010040053428137774
0.001790467625154335      0.009982355453449795
0.012232893223702135      0.009645346574310728
0.012233740405743099      0.00964532004201768
0.012236891074141276      0.009645228098116531
0.012273870430007605      0.009644132148161701
0.04530176582656509       0.008665290856313373
0.046402051538340316      0.008630978358703988
0.04643033396322682       0.008630231262379285
0.05012720372832824       0.008532576346809106
0.05790902974759771       0.0083246287828109
0.06432071440880538       0.008155350920499736
0.08784332599674638       0.007534319535460845
0.09683697629948984       0.0073417611243695394
0.10595561670062725       0.007126204793311705
0.13017453977759352       0.006561459613434041
0.1474679175669218        0.006215430324013995
0.15861293846628932       0.005992039264873097
0.15908652946772062       0.005982879625651431
0.1625644275498157        0.005915614218189244
0.16383636658930723       0.005892199154765366
0.1655402936066528        0.0058608316458344505
0.17110984842023136       0.005758820213624385
0.19025522029515596       0.005400318638161136
0.19080716672412645       0.0053896988902381385
0.1909795869992319        0.005386392396989624
0.20192135149000467       0.005187884958863022
0.20633855212871488       0.0051147101948251575
0.21237303223613235       0.0050101825628064214
0.2201123693289171        0.0048761238592721695
0.22943932133012712       0.004715158124874947
0.232488510196176         0.004665690016808589
0.23573452849225607       0.0046130286727889686
0.24941757193370684       0.004412612359127018
0.2529545670689721        0.004361030747740265
0.26789905566102057       0.004131792503538177
0.2695477054945066        0.0041082093016545675
0.2787227745384948        0.003991426773325209
0.2899953363676584        0.0038486637907475464
0.2995705820092285        0.0037273967134477206
0.30336088249675797       0.0036765289660798386
0.3063587899919149        0.0036410211633957257
0.30802797714328456       0.0036229781956856966
0.3133713272041856        0.003565559451245588
0.320608531855628         0.0034842096190867656
0.33717405949900936       0.003298004729448497
0.3373331797480743        0.0032964669603362104
0.3454096147956891        0.0032066074730411113
0.3481177900756487        0.003178108533939908
0.3786678246018589        0.002845360098160988
0.3821800183426287        0.0028071055759806246
0.38793457530287867       0.002750234052537939
0.40352916678911743       0.0026055157112271857
0.4225430917336066        0.0024256297597976
0.4278183013518859        0.0023757223312185416
0.4369847295124796        0.0023004569450839002
0.47103813724096444       0.0020631029485302698
0.47190022679329147       0.002057053717821937
0.47354468636941416       0.0020455146435579717
0.475890609475373         0.0020287123364567676
0.4765157961345121        0.0020245172234692388
0.48092411296956783       0.001997079270324534
0.48152756048482637       0.001993323332339926
0.4897496436304296        0.0019417626957430841
0.4917279608370544        0.0019293566798031232
0.5186667309454442        0.0017573481580243282
0.5243809546513196        0.0017253647283567346
0.526715273310228         0.0017129604807906219
0.5376113675310901        0.001655060138134558
0.5600111036032471        0.0015329347489342344
0.5744952523426416        0.0014653794427295207
0.5751023838533653        0.0014627197291500796
0.6000454442708456        0.0013534495046047968
0.6013554762610509        0.0013475294504146367
0.6039236702284114        0.0013379474935363263
0.6246095500339655        0.0012601838033210423
0.641967042018571         0.0011998497590394418
0.6426998489188547        0.001197302547494666
0.6578002627846846        0.001148948879192263
0.6595426557936435        0.0011432804025456587
0.6606806998463304        0.0011395780368323592
0.6674026734514493        0.0011172427531180797
0.6727416343897294        0.0011027647765122915
0.6777333973898223        0.0010881699444428665
0.6921054979840449        0.0010434440360745124
0.6950306182739459        0.0010361282301574709
0.7054643693344973        0.0010100331331424032
0.7126205443376676        9.920400035535227E-4
0.7213857505547683        9.746082953184602E-4
0.7268366045053192        9.637679689936125E-4
0.7357743849735892        9.44405750543119E-4
0.7455056229989303        9.247457967870225E-4
0.7506849839832732        9.165368452866232E-4
0.7740978183745684        8.839935345322737E-4
0.7756220159907796        8.818749342873649E-4
0.7844332894752615        8.683787113294364E-4
0.786079213183851         8.665742168741715E-4
0.7887494236288815        8.636467543694994E-4
0.789895358843216         8.626138270424335E-4
0.7904871910391087        8.619752527116008E-4
0.7965986941944205        8.553810710079504E-4
0.7980441312265869        8.540325681817254E-4
0.8233609559515909        8.304135457456266E-4
0.826813863274487         8.286954487895602E-4
0.8475762545305976        8.224122920765676E-4
0.8529541131811111        8.207848336463373E-4
0.8574230034152492        8.186387965432569E-4
0.8622886224279211        8.170128229543086E-4
0.8648783029200944        8.172748516961719E-4
0.8773468189238507        8.209672739083203E-4
0.8848552639868457        8.221267099719042E-4
0.9012162889042514        8.24653140167142E-4
0.9029427425657017        8.256713603778774E-4
0.9145829305592832        8.34805804330464E-4
0.916012867519008         8.359279235798728E-4
0.9182473126360806        8.372845409627997E-4
0.9401439553805799        8.537766387131075E-4
0.9410071822113073        8.548026159714494E-4
0.979071621856912         9.074645800515696E-4
1.0102126915016072        9.695865825480213E-4
1.0102494175220578        9.696439884333357E-4
1.015750872650151         9.842081874558237E-4
1.0158018337543542        9.843611737363816E-4
